Date,Category,Predicted_Spending
2025-12-01,Food,3.64
2025-12-02,Food,4.35
2025-12-03,Food,4.28
2025-12-04,Food,5.36
2025-12-01,Education,3.14
2025-12-02,Education,2.5
2025-12-03,Education,1.68
2025-12-04,Education,2.74
2025-12-01,Transport,1.61
2025-12-02,Transport,2.53
2025-12-03,Transport,2.59
2025-12-04,Transport,1.53
2025-12-01,Health,1.26
2025-12-02,Health,2.16
2025-12-03,Health,2.68
2025-12-04,Health,3.22
2025-12-01,Grocery,1.41
2025-12-02,Grocery,0.84
2025-12-03,Grocery,0.84
2025-12-04,Grocery,0.72
2025-12-01,Insurance,6.6
2025-12-02,Insurance,0.64
2025-12-03,Insurance,-0.04
2025-12-04,Insurance,-1.31
2025-12-01,Travel,2.8
2025-12-02,Travel,1.82
2025-12-03,Travel,2.36
2025-12-04,Travel,1.72
2025-12-01,Bills,7.05
2025-12-02,Bills,6.05
2025-12-03,Bills,6.98
2025-12-04,Bills,5.63
2025-12-01,Family,2.1
2025-12-02,Family,0.86
2025-12-03,Family,2.15
2025-12-04,Family,1.91
2025-12-01,Other,2.62
2025-12-02,Other,3.04
2025-12-03,Other,2.25
2025-12-04,Other,2.26
2025-12-01,Entertainment,3.52
2025-12-02,Entertainment,4.78
2025-12-03,Entertainment,4.71
2025-12-04,Entertainment,4.69
