Date,Category,Predicted_Spending
2025-12-01,Food,122.13
2025-12-02,Food,145.7
2025-12-03,Food,143.31
2025-12-04,Food,179.7
2025-12-01,Education,103.27
2025-12-02,Education,81.45
2025-12-03,Education,54.07
2025-12-04,Education,89.72
2025-12-01,Transport,53.92
2025-12-02,Transport,84.81
2025-12-03,Transport,86.83
2025-12-04,Transport,51.35
2025-12-01,Health,42.29
2025-12-02,Health,72.53
2025-12-03,Health,90.05
2025-12-04,Health,108.0
2025-12-01,Grocery,47.26
2025-12-02,Grocery,28.27
2025-12-03,Grocery,28.3
2025-12-04,Grocery,24.08
2025-12-01,Insurance,221.39
2025-12-02,Insurance,21.52
2025-12-03,Insurance,-1.41
2025-12-04,Insurance,-43.87
2025-12-01,Travel,93.9
2025-12-02,Travel,61.07
2025-12-03,Travel,79.18
2025-12-04,Travel,57.7
2025-12-01,Bills,236.41
2025-12-02,Bills,203.0
2025-12-03,Bills,234.04
2025-12-04,Bills,188.76
2025-12-01,Family,70.48
2025-12-02,Family,28.93
2025-12-03,Family,72.05
2025-12-04,Family,64.08
2025-12-01,Other,87.85
2025-12-02,Other,102.11
2025-12-03,Other,75.57
2025-12-04,Other,75.73
2025-12-01,Entertainment,118.04
2025-12-02,Entertainment,160.55
2025-12-03,Entertainment,158.1
2025-12-04,Entertainment,157.3
