Date,Category,Predicted_Spending
2025-12-02,Food,709.31
2025-12-03,Food,697.73
2025-12-04,Food,873.03
2025-12-05,Food,672.18
2025-12-02,Education,393.14
2025-12-03,Education,261.7
2025-12-04,Education,434.16
2025-12-05,Education,310.69
2025-12-02,Transport,412.45
2025-12-03,Transport,422.38
2025-12-04,Transport,251.58
2025-12-05,Transport,472.58
2025-12-02,Health,344.75
2025-12-03,Health,429.11
2025-12-04,Health,515.63
2025-12-05,Health,407.86
2025-12-02,Grocery,123.51
2025-12-03,Grocery,123.74
2025-12-04,Grocery,103.57
2025-12-05,Grocery,122.04
2025-12-02,Insurance,78.9
2025-12-03,Insurance,-31.22
2025-12-04,Insurance,-235.36
2025-12-05,Insurance,503.42
2025-12-02,Travel,280.38
2025-12-03,Travel,367.79
2025-12-04,Travel,264.54
2025-12-05,Travel,304.65
2025-12-02,Bills,947.7
2025-12-03,Bills,1097.71
2025-12-04,Bills,880.34
2025-12-05,Bills,1107.4
2025-12-02,Family,127.12
2025-12-03,Family,335.19
2025-12-04,Family,296.96
2025-12-05,Family,181.71
2025-12-02,Other,477.14
2025-12-03,Other,349.37
2025-12-04,Other,350.37
2025-12-05,Other,314.12
2025-12-02,Entertainment,757.79
2025-12-03,Entertainment,746.28
2025-12-04,Entertainment,742.89
2025-12-05,Entertainment,942.8
