Date,Category,Predicted_Spending
2025-12-01,Food,162.19
2025-12-02,Food,193.43
2025-12-03,Food,190.28
2025-12-04,Food,238.5
2025-12-01,Education,142.23
2025-12-02,Education,113.42
2025-12-03,Education,77.24
2025-12-04,Education,124.52
2025-12-01,Transport,71.33
2025-12-02,Transport,112.22
2025-12-03,Transport,114.91
2025-12-04,Transport,67.91
2025-12-01,Health,56.01
2025-12-02,Health,96.05
2025-12-03,Health,119.25
2025-12-04,Health,143.03
2025-12-01,Grocery,62.57
2025-12-02,Grocery,37.42
2025-12-03,Grocery,37.47
2025-12-04,Grocery,31.89
2025-12-01,Insurance,293.16
2025-12-02,Insurance,28.49
2025-12-03,Insurance,-1.87
2025-12-04,Insurance,-58.09
2025-12-01,Travel,124.29
2025-12-02,Travel,80.81
2025-12-03,Travel,104.79
2025-12-04,Travel,76.35
2025-12-01,Bills,313.04
2025-12-02,Bills,268.81
2025-12-03,Bills,309.91
2025-12-04,Bills,249.96
2025-12-01,Family,93.32
2025-12-02,Family,38.3
2025-12-03,Family,95.4
2025-12-04,Family,84.85
2025-12-01,Other,116.34
2025-12-02,Other,135.21
2025-12-03,Other,100.08
2025-12-04,Other,100.29
2025-12-01,Entertainment,157.77
2025-12-02,Entertainment,214.05
2025-12-03,Entertainment,210.8
2025-12-04,Entertainment,209.74
