Date,Category,Predicted_Spending
2025-12-01,Food,19.53
2025-12-02,Food,23.34
2025-12-03,Food,22.96
2025-12-04,Food,28.83
2025-12-01,Education,16.5
2025-12-02,Education,12.99
2025-12-03,Education,8.57
2025-12-04,Education,14.33
2025-12-01,Transport,8.69
2025-12-02,Transport,13.68
2025-12-03,Transport,14.0
2025-12-04,Transport,8.28
2025-12-01,Health,6.82
2025-12-02,Health,11.7
2025-12-03,Health,14.53
2025-12-04,Health,17.43
2025-12-01,Grocery,7.63
2025-12-02,Grocery,4.56
2025-12-03,Grocery,4.57
2025-12-04,Grocery,3.89
2025-12-01,Insurance,35.73
2025-12-02,Insurance,3.47
2025-12-03,Insurance,-0.23
2025-12-04,Insurance,-7.08
2025-12-01,Travel,15.15
2025-12-02,Travel,9.85
2025-12-03,Travel,12.77
2025-12-04,Travel,9.3
2025-12-01,Bills,38.15
2025-12-02,Bills,32.76
2025-12-03,Bills,37.77
2025-12-04,Bills,30.46
2025-12-01,Family,11.37
2025-12-02,Family,4.67
2025-12-03,Family,11.63
2025-12-04,Family,10.34
2025-12-01,Other,14.18
2025-12-02,Other,16.48
2025-12-03,Other,12.2
2025-12-04,Other,12.22
2025-12-01,Entertainment,19.44
2025-12-02,Entertainment,26.3
2025-12-03,Entertainment,25.91
2025-12-04,Entertainment,25.78
