Date,Category,Predicted_Spending
2025-12-01,Food,2.7
2025-12-02,Food,3.22
2025-12-03,Food,3.17
2025-12-04,Food,3.98
2025-12-01,Education,2.36
2025-12-02,Education,1.88
2025-12-03,Education,1.27
2025-12-04,Education,2.06
2025-12-01,Transport,1.19
2025-12-02,Transport,1.88
2025-12-03,Transport,1.92
2025-12-04,Transport,1.14
2025-12-01,Health,0.94
2025-12-02,Health,1.6
2025-12-03,Health,1.99
2025-12-04,Health,2.39
2025-12-01,Grocery,1.05
2025-12-02,Grocery,0.63
2025-12-03,Grocery,0.63
2025-12-04,Grocery,0.53
2025-12-01,Insurance,4.9
2025-12-02,Insurance,0.48
2025-12-03,Insurance,-0.03
2025-12-04,Insurance,-0.97
2025-12-01,Travel,2.08
2025-12-02,Travel,1.35
2025-12-03,Travel,1.75
2025-12-04,Travel,1.28
2025-12-01,Bills,5.23
2025-12-02,Bills,4.49
2025-12-03,Bills,5.18
2025-12-04,Bills,4.18
2025-12-01,Family,1.56
2025-12-02,Family,0.64
2025-12-03,Family,1.59
2025-12-04,Family,1.42
2025-12-01,Other,1.94
2025-12-02,Other,2.26
2025-12-03,Other,1.67
2025-12-04,Other,1.68
2025-12-01,Entertainment,2.64
2025-12-02,Entertainment,3.58
2025-12-03,Entertainment,3.52
2025-12-04,Entertainment,3.5
