Date,Category,Predicted_Spending
2025-12-01,Food,66.35
2025-12-02,Food,79.31
2025-12-03,Food,78.03
2025-12-04,Food,98.02
2025-12-01,Education,59.19
2025-12-02,Education,47.27
2025-12-03,Education,32.3
2025-12-04,Education,51.89
2025-12-01,Transport,29.49
2025-12-02,Transport,46.42
2025-12-03,Transport,47.53
2025-12-04,Transport,28.08
2025-12-01,Health,23.19
2025-12-02,Health,39.76
2025-12-03,Health,49.37
2025-12-04,Health,59.22
2025-12-01,Grocery,25.91
2025-12-02,Grocery,15.5
2025-12-03,Grocery,15.52
2025-12-04,Grocery,13.2
2025-12-01,Insurance,121.38
2025-12-02,Insurance,11.8
2025-12-03,Insurance,-0.77
2025-12-04,Insurance,-24.05
2025-12-01,Travel,51.55
2025-12-02,Travel,33.55
2025-12-03,Travel,43.47
2025-12-04,Travel,31.7
2025-12-01,Bills,129.62
2025-12-02,Bills,111.3
2025-12-03,Bills,128.32
2025-12-04,Bills,103.49
2025-12-01,Family,38.64
2025-12-02,Family,15.86
2025-12-03,Family,39.5
2025-12-04,Family,35.13
2025-12-01,Other,48.16
2025-12-02,Other,55.98
2025-12-03,Other,41.43
2025-12-04,Other,41.52
2025-12-01,Entertainment,64.58
2025-12-02,Entertainment,87.88
2025-12-03,Entertainment,86.54
2025-12-04,Entertainment,86.11
