Date,Category,Predicted_Spending
2025-12-01,Food,88.02
2025-12-02,Food,105.11
2025-12-03,Food,103.4
2025-12-04,Food,129.78
2025-12-01,Education,75.07
2025-12-02,Education,59.27
2025-12-03,Education,39.43
2025-12-04,Education,65.27
2025-12-01,Transport,39.11
2025-12-02,Transport,61.49
2025-12-03,Transport,62.96
2025-12-04,Transport,37.25
2025-12-01,Health,30.63
2025-12-02,Health,52.54
2025-12-03,Health,65.23
2025-12-04,Health,78.24
2025-12-01,Grocery,34.24
2025-12-02,Grocery,20.48
2025-12-03,Grocery,20.5
2025-12-04,Grocery,17.45
2025-12-01,Insurance,160.39
2025-12-02,Insurance,15.59
2025-12-03,Insurance,-1.02
2025-12-04,Insurance,-31.78
2025-12-01,Travel,68.02
2025-12-02,Travel,44.24
2025-12-03,Travel,57.36
2025-12-04,Travel,41.8
2025-12-01,Bills,171.27
2025-12-02,Bills,147.06
2025-12-03,Bills,169.55
2025-12-04,Bills,136.75
2025-12-01,Family,51.06
2025-12-02,Family,20.96
2025-12-03,Family,52.19
2025-12-04,Family,46.42
2025-12-01,Other,63.65
2025-12-02,Other,73.98
2025-12-03,Other,54.76
2025-12-04,Other,54.87
2025-12-01,Entertainment,86.07
2025-12-02,Entertainment,116.85
2025-12-03,Entertainment,115.08
2025-12-04,Entertainment,114.5
