Date,Category,Predicted_Spending
2025-11-17,Food,1.35
2025-11-18,Food,1.86
2025-11-19,Food,1.93
2025-11-20,Food,2.66
2025-11-17,Education,2.6
2025-11-18,Education,2.42
2025-11-19,Education,2.15
2025-11-20,Education,2.94
2025-11-17,Transport,0.84
2025-11-18,Transport,1.24
2025-11-19,Transport,1.15
2025-11-20,Transport,0.42
2025-11-17,Health,0.73
2025-11-18,Health,1.16
2025-11-19,Health,1.35
2025-11-20,Health,1.54
2025-11-17,Grocery,1.26
2025-11-18,Grocery,0.99
2025-11-19,Grocery,1.03
2025-11-20,Grocery,0.98
2025-11-17,Insurance,4.43
2025-11-18,Insurance,1.86
2025-11-19,Insurance,2.28
2025-11-20,Insurance,2.31
2025-11-17,Travel,1.35
2025-11-18,Travel,0.77
2025-11-19,Travel,1.07
2025-11-20,Travel,0.7
2025-11-17,Bills,3.48
2025-11-18,Bills,2.97
2025-11-19,Bills,3.56
2025-11-20,Bills,2.86
2025-11-17,Family,2.83
2025-11-18,Family,1.93
2025-11-19,Family,2.45
2025-11-20,Family,2.09
2025-11-17,Other,0.78
2025-11-18,Other,1.19
2025-11-19,Other,0.93
2025-11-20,Other,1.13
2025-11-17,Entertainment,0.98
2025-11-18,Entertainment,1.61
2025-11-19,Entertainment,1.49
2025-11-20,Entertainment,1.42
