Date,Category,Predicted_Spending
2025-12-02,Food,65232.7
2025-12-03,Food,64158.68
2025-12-04,Food,80431.34
2025-12-05,Food,61789.48
2025-12-02,Education,36093.96
2025-12-03,Education,23888.93
2025-12-04,Education,39896.72
2025-12-05,Education,28433.26
2025-12-02,Transport,38274.19
2025-12-03,Transport,39196.51
2025-12-04,Transport,23342.21
2025-12-05,Transport,43855.62
2025-12-02,Health,31999.97
2025-12-03,Health,39830.6
2025-12-04,Health,47861.57
2025-12-05,Health,37858.43
2025-12-02,Grocery,11529.7
2025-12-03,Grocery,11551.59
2025-12-04,Grocery,9678.94
2025-12-05,Grocery,11392.66
2025-12-02,Insurance,7323.37
2025-12-03,Insurance,-2897.54
2025-12-04,Insurance,-21846.31
2025-12-05,Insurance,46727.79
2025-12-02,Travel,26022.69
2025-12-03,Travel,34136.23
2025-12-04,Travel,24552.55
2025-12-05,Travel,28274.91
2025-12-02,Bills,87966.95
2025-12-03,Bills,101890.72
2025-12-04,Bills,81713.95
2025-12-05,Bills,102790.06
2025-12-02,Family,11799.11
2025-12-03,Family,31113.12
2025-12-04,Family,27564.11
2025-12-05,Family,16866.37
2025-12-02,Other,44309.75
2025-12-03,Other,32449.77
2025-12-04,Other,32542.28
2025-12-05,Other,29177.8
2025-12-02,Entertainment,70964.21
2025-12-03,Entertainment,69883.76
2025-12-04,Entertainment,69556.6
2025-12-05,Entertainment,88078.33
