Date,Category,Predicted_Spending
2025-12-01,Food,35.0
2025-12-02,Food,41.88
2025-12-03,Food,41.19
2025-12-04,Food,51.82
2025-12-01,Education,29.7
2025-12-02,Education,23.34
2025-12-03,Education,15.35
2025-12-04,Education,25.75
2025-12-01,Transport,15.73
2025-12-02,Transport,24.74
2025-12-03,Transport,25.33
2025-12-04,Transport,14.98
2025-12-01,Health,12.34
2025-12-02,Health,21.16
2025-12-03,Health,26.28
2025-12-04,Health,31.51
2025-12-01,Grocery,13.79
2025-12-02,Grocery,8.25
2025-12-03,Grocery,8.26
2025-12-04,Grocery,7.03
2025-12-01,Insurance,64.59
2025-12-02,Insurance,6.28
2025-12-03,Insurance,-0.41
2025-12-04,Insurance,-12.8
2025-12-01,Travel,27.43
2025-12-02,Travel,17.85
2025-12-03,Travel,23.13
2025-12-04,Travel,16.86
2025-12-01,Bills,68.97
2025-12-02,Bills,59.23
2025-12-03,Bills,68.28
2025-12-04,Bills,55.07
2025-12-01,Family,20.56
2025-12-02,Family,8.44
2025-12-03,Family,21.02
2025-12-04,Family,18.69
2025-12-01,Other,25.63
2025-12-02,Other,29.79
2025-12-03,Other,22.05
2025-12-04,Other,22.1
2025-12-01,Entertainment,35.2
2025-12-02,Entertainment,47.6
2025-12-03,Entertainment,46.88
2025-12-04,Entertainment,46.65
