Date,Category,Predicted_Spending
2025-11,Food,161.58
2025-12,Food,162.96
2026-01,Food,164.33
2026-02,Food,165.58
2025-11,Education,173.83
2025-12,Education,174.9
2026-01,Education,175.97
2026-02,Education,176.94
2025-11,Transport,135.21
2025-12,Transport,134.19
2026-01,Transport,133.16
2026-02,Transport,132.23
2025-11,Health,197.11
2025-12,Health,198.68
2026-01,Health,200.24
2026-02,Health,201.66
2025-11,Grocery,76.47
2025-12,Grocery,72.03
2026-01,Grocery,67.6
2026-02,Grocery,63.6
2025-11,Insurance,208.74
2025-12,Insurance,203.66
2026-01,Insurance,198.59
2026-02,Insurance,194.01
2025-11,Travel,139.22
2025-12,Travel,138.03
2026-01,Travel,136.85
2026-02,Travel,135.78
2025-11,Bills,377.38
2025-12,Bills,379.34
2026-01,Bills,381.31
2026-02,Bills,383.09
2025-11,Family,150.4
2025-12,Family,151.24
2026-01,Family,152.09
2026-02,Family,152.86
2025-11,Other,93.29
2025-12,Other,89.79
2026-01,Other,86.29
2026-02,Other,83.13
2025-11,Entertainment,222.66
2025-12,Entertainment,226.89
2026-01,Entertainment,231.12
2026-02,Entertainment,234.95
