Date,Category,Predicted_Spending
2025-11,Food,63.79
2025-12,Food,64.2
2026-01,Food,64.61
2026-02,Food,64.98
2025-11,Education,72.54
2025-12,Education,72.99
2026-01,Education,73.44
2026-02,Education,73.84
2025-11,Transport,56.43
2025-12,Transport,56.0
2026-01,Transport,55.57
2026-02,Transport,55.18
2025-11,Health,82.26
2025-12,Health,82.91
2026-01,Health,83.57
2026-02,Health,84.16
2025-11,Grocery,31.91
2025-12,Grocery,30.06
2026-01,Grocery,28.21
2026-02,Grocery,26.54
2025-11,Insurance,87.11
2025-12,Insurance,84.99
2026-01,Insurance,82.88
2026-02,Insurance,80.96
2025-11,Travel,58.1
2025-12,Travel,57.6
2026-01,Travel,57.11
2026-02,Travel,56.66
2025-11,Bills,157.49
2025-12,Bills,158.31
2026-01,Bills,159.13
2026-02,Bills,159.87
2025-11,Family,62.76
2025-12,Family,63.12
2026-01,Family,63.47
2026-02,Family,63.79
2025-11,Other,38.93
2025-12,Other,37.47
2026-01,Other,36.01
2026-02,Other,34.69
2025-11,Entertainment,92.92
2025-12,Entertainment,94.69
2026-01,Entertainment,96.45
2026-02,Entertainment,98.05
