Date,Category,Predicted_Spending
2025-12,Food,4850.03
2026-01,Food,4872.38
2026-02,Food,4892.57
2026-03,Food,4914.92
2025-12,Education,5148.95
2026-01,Education,5157.74
2026-02,Education,5165.68
2026-03,Education,5174.46
2025-12,Transport,3869.35
2026-01,Transport,3812.29
2026-02,Transport,3760.76
2026-03,Transport,3703.71
2025-12,Health,5837.46
2026-01,Health,5858.5
2026-02,Health,5877.51
2026-03,Health,5898.55
2025-12,Grocery,2121.58
2026-01,Grocery,1963.43
2026-02,Grocery,1820.58
2026-03,Grocery,1662.42
2025-12,Insurance,6132.5
2026-01,Insurance,5938.65
2026-02,Insurance,5763.56
2026-03,Insurance,5569.7
2025-12,Travel,3997.37
2026-01,Travel,3934.17
2026-02,Travel,3877.08
2026-03,Travel,3813.89
2025-12,Bills,11210.58
2026-01,Bills,11219.44
2026-02,Bills,11227.44
2026-03,Bills,11236.3
2025-12,Family,4460.06
2026-01,Family,4465.59
2026-02,Family,4470.57
2026-03,Family,4476.1
2025-12,Other,2641.75
2026-01,Other,2512.09
2026-02,Other,2394.98
2026-03,Other,2265.32
2025-12,Entertainment,6702.12
2026-01,Entertainment,6808.64
2026-02,Entertainment,6904.85
2026-03,Entertainment,7011.37
