Date,Category,Predicted_Spending
2025-11,Food,234.46
2025-12,Food,236.46
2026-01,Food,238.46
2026-02,Food,240.27
2025-11,Education,252.24
2025-12,Education,253.79
2026-01,Education,255.35
2026-02,Education,256.76
2025-11,Transport,196.2
2025-12,Transport,194.71
2026-01,Transport,193.22
2026-02,Transport,191.87
2025-11,Health,286.02
2025-12,Health,288.29
2026-01,Health,290.57
2026-02,Health,292.62
2025-11,Grocery,110.96
2025-12,Grocery,104.53
2026-01,Grocery,98.09
2026-02,Grocery,92.28
2025-11,Insurance,302.89
2025-12,Insurance,295.53
2026-01,Insurance,288.17
2026-02,Insurance,281.52
2025-11,Travel,202.01
2025-12,Travel,200.29
2026-01,Travel,198.57
2026-02,Travel,197.02
2025-11,Bills,547.6
2025-12,Bills,550.46
2026-01,Bills,553.31
2026-02,Bills,555.89
2025-11,Family,218.23
2025-12,Family,219.46
2026-01,Family,220.69
2026-02,Family,221.81
2025-11,Other,135.37
2025-12,Other,130.29
2026-01,Other,125.21
2026-02,Other,120.63
2025-11,Entertainment,323.09
2025-12,Entertainment,329.23
2026-01,Entertainment,335.37
2026-02,Entertainment,340.92
