Date,Category,Predicted_Spending
2025-11,Food,310.79
2025-12,Food,313.45
2026-01,Food,316.1
2026-02,Food,318.5
2025-11,Education,334.36
2025-12,Education,336.42
2026-01,Education,338.49
2026-02,Education,340.35
2025-11,Transport,260.09
2025-12,Transport,258.11
2026-01,Transport,256.13
2026-02,Transport,254.34
2025-11,Health,379.15
2025-12,Health,382.16
2026-01,Health,385.17
2026-02,Health,387.89
2025-11,Grocery,147.08
2025-12,Grocery,138.56
2026-01,Grocery,130.03
2026-02,Grocery,122.33
2025-11,Insurance,401.51
2025-12,Insurance,391.75
2026-01,Insurance,381.99
2026-02,Insurance,373.18
2025-11,Travel,267.79
2025-12,Travel,265.51
2026-01,Travel,263.23
2026-02,Travel,261.17
2025-11,Bills,725.89
2025-12,Bills,729.67
2026-01,Bills,733.46
2026-02,Bills,736.88
2025-11,Family,289.29
2025-12,Family,290.92
2026-01,Family,292.55
2026-02,Family,294.02
2025-11,Other,179.44
2025-12,Other,172.71
2026-01,Other,165.98
2026-02,Other,159.9
2025-11,Entertainment,428.28
2025-12,Entertainment,436.42
2026-01,Entertainment,444.57
2026-02,Entertainment,451.92
