Date,Category,Predicted_Spending
2025-11,Food,35.93
2025-12,Food,36.17
2026-01,Food,36.4
2026-02,Food,36.61
2025-11,Education,40.87
2025-12,Education,41.12
2026-01,Education,41.37
2026-02,Education,41.6
2025-11,Transport,31.79
2025-12,Transport,31.55
2026-01,Transport,31.3
2026-02,Transport,31.09
2025-11,Health,46.34
2025-12,Health,46.71
2026-01,Health,47.08
2026-02,Health,47.41
2025-11,Grocery,17.98
2025-12,Grocery,16.93
2026-01,Grocery,15.89
2026-02,Grocery,14.95
2025-11,Insurance,49.07
2025-12,Insurance,47.88
2026-01,Insurance,46.69
2026-02,Insurance,45.61
2025-11,Travel,32.73
2025-12,Travel,32.45
2026-01,Travel,32.17
2026-02,Travel,31.92
2025-11,Bills,88.72
2025-12,Bills,89.18
2026-01,Bills,89.65
2026-02,Bills,90.06
2025-11,Family,35.36
2025-12,Family,35.56
2026-01,Family,35.76
2026-02,Family,35.94
2025-11,Other,21.93
2025-12,Other,21.11
2026-01,Other,20.29
2026-02,Other,19.54
2025-11,Entertainment,52.35
2025-12,Entertainment,53.34
2026-01,Entertainment,54.34
2026-02,Entertainment,55.23
