Date,Category,Predicted_Spending
2025-11,Food,3931.25
2025-12,Food,3964.82
2026-01,Food,3998.39
2026-02,Food,4028.71
2025-11,Education,4229.35
2025-12,Education,4255.46
2026-01,Education,4281.58
2026-02,Education,4305.16
2025-11,Transport,3289.85
2025-12,Transport,3264.83
2026-01,Transport,3239.81
2026-02,Transport,3217.21
2025-11,Health,4795.86
2025-12,Health,4833.95
2026-01,Health,4872.05
2026-02,Health,4906.45
2025-11,Grocery,1860.46
2025-12,Grocery,1752.62
2026-01,Grocery,1644.78
2026-02,Grocery,1547.38
2025-11,Insurance,5078.73
2025-12,Insurance,4955.29
2026-01,Insurance,4831.85
2026-02,Insurance,4720.36
2025-11,Travel,3387.26
2025-12,Travel,3358.43
2026-01,Travel,3329.59
2026-02,Travel,3303.55
2025-11,Bills,9181.84
2025-12,Bills,9229.73
2026-01,Bills,9277.61
2026-02,Bills,9320.87
2025-11,Family,3659.22
2025-12,Family,3679.85
2026-01,Family,3700.48
2026-02,Family,3719.11
2025-11,Other,2269.77
2025-12,Other,2184.64
2026-01,Other,2099.51
2026-02,Other,2022.62
2025-11,Entertainment,5417.37
2025-12,Entertainment,5520.37
2026-01,Entertainment,5623.38
2026-02,Entertainment,5716.42
