Date,Category,Predicted_Spending
2025-11,Food,76.88
2025-12,Food,77.54
2026-01,Food,78.19
2026-02,Food,78.79
2025-11,Education,82.71
2025-12,Education,83.22
2026-01,Education,83.73
2026-02,Education,84.19
2025-11,Transport,64.34
2025-12,Transport,63.85
2026-01,Transport,63.36
2026-02,Transport,62.92
2025-11,Health,93.79
2025-12,Health,94.53
2026-01,Health,95.28
2026-02,Health,95.95
2025-11,Grocery,36.38
2025-12,Grocery,34.27
2026-01,Grocery,32.17
2026-02,Grocery,30.26
2025-11,Insurance,99.32
2025-12,Insurance,96.91
2026-01,Insurance,94.49
2026-02,Insurance,92.31
2025-11,Travel,66.24
2025-12,Travel,65.68
2026-01,Travel,65.11
2026-02,Travel,64.6
2025-11,Bills,179.56
2025-12,Bills,180.5
2026-01,Bills,181.43
2026-02,Bills,182.28
2025-11,Family,71.56
2025-12,Family,71.96
2026-01,Family,72.37
2026-02,Family,72.73
2025-11,Other,44.39
2025-12,Other,42.72
2026-01,Other,41.06
2026-02,Other,39.55
2025-11,Entertainment,105.94
2025-12,Entertainment,107.96
2026-01,Entertainment,109.97
2026-02,Entertainment,111.79
