Date,Category,Predicted_Spending
2025-11,Food,2579.03
2025-12,Food,2601.05
2026-01,Food,2623.07
2026-02,Food,2642.97
2025-11,Education,2774.59
2025-12,Education,2791.73
2026-01,Education,2808.86
2026-02,Education,2824.33
2025-11,Transport,2158.25
2025-12,Transport,2141.84
2026-01,Transport,2125.43
2026-02,Transport,2110.6
2025-11,Health,3146.24
2025-12,Health,3171.23
2026-01,Health,3196.22
2026-02,Health,3218.8
2025-11,Grocery,1220.53
2025-12,Grocery,1149.78
2026-01,Grocery,1079.03
2026-02,Grocery,1015.13
2025-11,Insurance,3331.81
2025-12,Insurance,3250.83
2026-01,Insurance,3169.85
2026-02,Insurance,3096.71
2025-11,Travel,2222.16
2025-12,Travel,2203.24
2026-01,Travel,2184.32
2026-02,Travel,2167.24
2025-11,Bills,6023.59
2025-12,Bills,6055.01
2026-01,Bills,6086.42
2026-02,Bills,6114.8
2025-11,Family,2400.57
2025-12,Family,2414.1
2026-01,Family,2427.64
2026-02,Family,2439.86
2025-11,Other,1489.04
2025-12,Other,1433.2
2026-01,Other,1377.35
2026-02,Other,1326.91
2025-11,Entertainment,3553.97
2025-12,Entertainment,3621.55
2026-01,Entertainment,3689.12
2026-02,Entertainment,3750.16
