Date,Category,Predicted_Spending
2025-12,Food,11255.29
2026-01,Food,11307.16
2026-02,Food,11354.01
2026-03,Food,11405.88
2025-12,Education,11948.99
2026-01,Education,11969.38
2026-02,Education,11987.8
2026-03,Education,12008.2
2025-12,Transport,8979.46
2026-01,Transport,8847.06
2026-02,Transport,8727.47
2026-03,Transport,8595.07
2025-12,Health,13546.79
2026-01,Health,13595.62
2026-02,Health,13639.73
2026-03,Health,13688.56
2025-12,Grocery,4923.48
2026-01,Grocery,4556.45
2026-02,Grocery,4224.95
2026-03,Grocery,3857.93
2025-12,Insurance,14231.48
2026-01,Insurance,13781.62
2026-02,Insurance,13375.29
2026-03,Insurance,12925.42
2025-12,Travel,9276.55
2026-01,Travel,9129.88
2026-02,Travel,8997.42
2026-03,Travel,8850.75
2025-12,Bills,26016.0
2026-01,Bills,26036.56
2026-02,Bills,26055.13
2026-03,Bills,26075.69
2025-12,Family,10350.31
2026-01,Family,10363.13
2026-02,Family,10374.71
2026-03,Family,10387.52
2025-12,Other,6130.62
2026-01,Other,5829.72
2026-02,Other,5557.94
2026-03,Other,5257.04
2025-12,Entertainment,15553.38
2026-01,Entertainment,15800.57
2026-02,Entertainment,16023.85
2026-03,Entertainment,16271.04
