Date,Category,Predicted_Spending
2025-11,Food,57.07
2025-12,Food,57.56
2026-01,Food,58.04
2026-02,Food,58.48
2025-11,Education,61.4
2025-12,Education,61.78
2026-01,Education,62.16
2026-02,Education,62.5
2025-11,Transport,47.76
2025-12,Transport,47.4
2026-01,Transport,47.03
2026-02,Transport,46.7
2025-11,Health,69.62
2025-12,Health,70.17
2026-01,Health,70.73
2026-02,Health,71.23
2025-11,Grocery,27.01
2025-12,Grocery,25.44
2026-01,Grocery,23.88
2026-02,Grocery,22.46
2025-11,Insurance,73.73
2025-12,Insurance,71.94
2026-01,Insurance,70.14
2026-02,Insurance,68.52
2025-11,Travel,49.17
2025-12,Travel,48.75
2026-01,Travel,48.34
2026-02,Travel,47.96
2025-11,Bills,133.29
2025-12,Bills,133.99
2026-01,Bills,134.68
2026-02,Bills,135.31
2025-11,Family,53.12
2025-12,Family,53.42
2026-01,Family,53.72
2026-02,Family,53.99
2025-11,Other,32.95
2025-12,Other,31.71
2026-01,Other,30.48
2026-02,Other,29.36
2025-11,Entertainment,78.64
2025-12,Entertainment,80.14
2026-01,Entertainment,81.63
2026-02,Entertainment,82.98
