Date,Category,Predicted_Spending
2025-11,Food,1414.01
2025-12,Food,1426.09
2026-01,Food,1438.16
2026-02,Food,1449.07
2025-11,Education,1521.24
2025-12,Education,1530.63
2026-01,Education,1540.02
2026-02,Education,1548.51
2025-11,Transport,1183.31
2025-12,Transport,1174.31
2026-01,Transport,1165.31
2026-02,Transport,1157.19
2025-11,Health,1725.0
2025-12,Health,1738.7
2026-01,Health,1752.4
2026-02,Health,1764.78
2025-11,Grocery,669.18
2025-12,Grocery,630.39
2026-01,Grocery,591.6
2026-02,Grocery,556.57
2025-11,Insurance,1826.74
2025-12,Insurance,1782.35
2026-01,Insurance,1737.95
2026-02,Insurance,1697.84
2025-11,Travel,1218.35
2025-12,Travel,1207.98
2026-01,Travel,1197.61
2026-02,Travel,1188.24
2025-11,Bills,3302.58
2025-12,Bills,3319.8
2026-01,Bills,3337.02
2026-02,Bills,3352.58
2025-11,Family,1316.17
2025-12,Family,1323.59
2026-01,Family,1331.01
2026-02,Family,1337.71
2025-11,Other,816.4
2025-12,Other,785.78
2026-01,Other,755.16
2026-02,Other,727.51
2025-11,Entertainment,1948.55
2025-12,Entertainment,1985.6
2026-01,Entertainment,2022.65
2026-02,Entertainment,2056.11
