Date,Category,Predicted_Spending
2025-11,Food,41.44
2025-12,Food,41.7
2026-01,Food,41.97
2026-02,Food,42.21
2025-11,Education,47.12
2025-12,Education,47.41
2026-01,Education,47.71
2026-02,Education,47.97
2025-11,Transport,36.66
2025-12,Transport,36.38
2026-01,Transport,36.1
2026-02,Transport,35.85
2025-11,Health,53.44
2025-12,Health,53.86
2026-01,Health,54.28
2026-02,Health,54.67
2025-11,Grocery,20.73
2025-12,Grocery,19.53
2026-01,Grocery,18.33
2026-02,Grocery,17.24
2025-11,Insurance,56.59
2025-12,Insurance,55.21
2026-01,Insurance,53.84
2026-02,Insurance,52.59
2025-11,Travel,37.74
2025-12,Travel,37.42
2026-01,Travel,37.1
2026-02,Travel,36.81
2025-11,Bills,102.3
2025-12,Bills,102.84
2026-01,Bills,103.37
2026-02,Bills,103.85
2025-11,Family,40.77
2025-12,Family,41.0
2026-01,Family,41.23
2026-02,Family,41.44
2025-11,Other,25.29
2025-12,Other,24.34
2026-01,Other,23.39
2026-02,Other,22.54
2025-11,Entertainment,60.36
2025-12,Entertainment,61.51
2026-01,Entertainment,62.66
2026-02,Entertainment,63.69
