Date,Category,Predicted_Spending
2025-11,Food,752.44
2025-12,Food,758.87
2026-01,Food,765.29
2026-02,Food,771.1
2025-11,Education,809.5
2025-12,Education,814.5
2026-01,Education,819.5
2026-02,Education,824.01
2025-11,Transport,629.68
2025-12,Transport,624.89
2026-01,Transport,620.1
2026-02,Transport,615.78
2025-11,Health,917.93
2025-12,Health,925.22
2026-01,Health,932.51
2026-02,Health,939.1
2025-11,Grocery,356.09
2025-12,Grocery,335.45
2026-01,Grocery,314.81
2026-02,Grocery,296.17
2025-11,Insurance,972.07
2025-12,Insurance,948.45
2026-01,Insurance,924.82
2026-02,Insurance,903.48
2025-11,Travel,648.33
2025-12,Travel,642.81
2026-01,Travel,637.29
2026-02,Travel,632.3
2025-11,Bills,1757.41
2025-12,Bills,1766.58
2026-01,Bills,1775.74
2026-02,Bills,1784.02
2025-11,Family,700.38
2025-12,Family,704.33
2026-01,Family,708.27
2026-02,Family,711.84
2025-11,Other,434.43
2025-12,Other,418.14
2026-01,Other,401.85
2026-02,Other,387.13
2025-11,Entertainment,1036.89
2025-12,Entertainment,1056.6
2026-01,Entertainment,1076.32
2026-02,Entertainment,1094.13
