Date,Category,Predicted_Spending
2025-11-30,Food,62.25
2025-12-07,Food,52.64
2025-12-14,Food,50.22
2025-12-21,Food,58.81
2025-11-30,Education,37.96
2025-12-07,Education,9.67
2025-12-14,Education,-0.33
2025-12-21,Education,19.54
2025-11-30,Transport,29.33
2025-12-07,Transport,48.03
2025-12-14,Transport,53.55
2025-12-21,Transport,39.28
2025-11-30,Health,42.54
2025-12-07,Health,60.61
2025-12-14,Health,78.9
2025-12-21,Health,87.86
2025-11-30,Grocery,13.41
2025-12-07,Grocery,17.68
2025-12-14,Grocery,21.48
2025-12-21,Grocery,16.57
2025-11-30,Insurance,30.44
2025-12-07,Insurance,-38.56
2025-12-14,Insurance,-13.54
2025-12-21,Insurance,80.57
2025-11-30,Travel,41.93
2025-12-07,Travel,46.72
2025-12-14,Travel,36.63
2025-12-21,Travel,22.71
2025-11-30,Bills,95.77
2025-12-07,Bills,110.78
2025-12-14,Bills,116.39
2025-12-21,Bills,109.59
2025-11-30,Family,20.74
2025-12-07,Family,39.3
2025-12-14,Family,51.78
2025-12-21,Family,43.28
2025-11-30,Other,39.1
2025-12-07,Other,16.16
2025-12-14,Other,-4.88
2025-12-21,Other,-9.91
2025-11-30,Entertainment,72.08
2025-12-07,Entertainment,82.55
2025-12-14,Entertainment,71.09
2025-12-21,Entertainment,47.82
