Date,Category,Predicted_Spending
2025-11-30,Food,55.35
2025-12-07,Food,46.8
2025-12-14,Food,44.64
2025-12-21,Food,52.29
2025-11-30,Education,33.75
2025-12-07,Education,8.59
2025-12-14,Education,-0.3
2025-12-21,Education,17.37
2025-11-30,Transport,26.07
2025-12-07,Transport,42.7
2025-12-14,Transport,47.61
2025-12-21,Transport,34.92
2025-11-30,Health,37.81
2025-12-07,Health,53.88
2025-12-14,Health,70.14
2025-12-21,Health,78.11
2025-11-30,Grocery,11.92
2025-12-07,Grocery,15.72
2025-12-14,Grocery,19.1
2025-12-21,Grocery,14.74
2025-11-30,Insurance,27.06
2025-12-07,Insurance,-34.28
2025-12-14,Insurance,-12.04
2025-12-21,Insurance,71.62
2025-11-30,Travel,37.27
2025-12-07,Travel,41.54
2025-12-14,Travel,32.57
2025-12-21,Travel,20.19
2025-11-30,Bills,85.14
2025-12-07,Bills,98.49
2025-12-14,Bills,103.47
2025-12-21,Bills,97.43
2025-11-30,Family,18.43
2025-12-07,Family,34.93
2025-12-14,Family,46.03
2025-12-21,Family,38.48
2025-11-30,Other,34.76
2025-12-07,Other,14.36
2025-12-14,Other,-4.34
2025-12-21,Other,-8.81
2025-11-30,Entertainment,64.1
2025-12-07,Entertainment,73.41
2025-12-14,Entertainment,63.22
2025-12-21,Entertainment,42.55
