Date,Category,Predicted_Spending
2025-11-16,Food,21.57
2025-11-23,Food,23.91
2025-11-30,Food,22.26
2025-12-07,Food,19.37
2025-11-16,Education,28.9
2025-11-23,Education,27.39
2025-11-30,Education,18.14
2025-12-07,Education,5.74
2025-11-16,Transport,10.91
2025-11-23,Transport,9.4
2025-11-30,Transport,13.17
2025-12-07,Transport,18.59
2025-11-16,Health,10.78
2025-11-23,Health,13.52
2025-11-30,Health,17.74
2025-12-07,Health,23.32
2025-11-16,Grocery,9.51
2025-11-23,Grocery,6.76
2025-11-30,Grocery,5.0
2025-12-07,Grocery,5.88
2025-11-16,Insurance,39.83
2025-11-23,Insurance,46.28
2025-11-30,Insurance,19.24
2025-12-07,Insurance,-10.01
2025-11-16,Travel,9.33
2025-11-23,Travel,12.6
2025-11-30,Travel,17.19
2025-12-07,Travel,17.95
2025-11-16,Bills,35.71
2025-11-23,Bills,39.41
2025-11-30,Bills,44.2
2025-12-07,Bills,46.93
2025-11-16,Family,20.43
2025-11-23,Family,9.95
2025-11-30,Family,8.8
2025-12-07,Family,14.83
2025-11-16,Other,12.87
2025-11-23,Other,20.03
2025-11-30,Other,17.36
2025-12-07,Other,7.16
2025-11-16,Entertainment,16.19
2025-11-23,Entertainment,21.92
2025-11-30,Entertainment,29.36
2025-12-07,Entertainment,31.39
