Date,Category,Predicted_Spending
2025-12-07,Food,1366.13
2025-12-14,Food,1391.93
2025-12-21,Food,1742.79
2025-12-28,Food,2130.12
2025-12-07,Education,196.19
2025-12-14,Education,-27.75
2025-12-21,Education,616.4
2025-12-28,Education,1669.46
2025-12-07,Transport,1252.17
2025-12-14,Transport,1478.23
2025-12-21,Transport,1202.15
2025-12-28,Transport,703.25
2025-12-07,Health,1586.58
2025-12-14,Health,2218.59
2025-12-21,Health,2569.86
2025-12-28,Health,2355.01
2025-12-07,Grocery,462.36
2025-12-14,Grocery,610.97
2025-12-21,Grocery,502.86
2025-12-28,Grocery,251.42
2025-12-07,Insurance,-1186.8
2025-12-14,Insurance,-409.83
2025-12-21,Insurance,2401.69
2025-12-28,Insurance,3378.5
2025-12-07,Travel,992.36
2025-12-14,Travel,777.03
2025-12-21,Travel,446.96
2025-12-28,Travel,446.94
2025-12-07,Bills,2813.82
2025-12-14,Bills,3186.27
2025-12-21,Bills,3192.05
2025-12-28,Bills,2780.32
2025-12-07,Family,1073.73
2025-12-14,Family,1485.34
2025-12-21,Family,1283.17
2025-12-28,Family,838.81
2025-12-07,Other,275.0
2025-12-14,Other,-285.21
2025-12-21,Other,-374.94
2025-12-28,Other,-105.39
2025-12-07,Entertainment,2142.44
2025-12-14,Entertainment,1946.13
2025-12-21,Entertainment,1388.08
2025-12-28,Entertainment,1020.93
