Date,Category,Predicted_Spending
2025-11-30,Food,80.31
2025-12-07,Food,67.91
2025-12-14,Food,64.78
2025-12-21,Food,75.87
2025-11-30,Education,48.97
2025-12-07,Education,12.47
2025-12-14,Education,-0.43
2025-12-21,Education,25.21
2025-11-30,Transport,37.83
2025-12-07,Transport,61.96
2025-12-14,Transport,69.08
2025-12-21,Transport,50.67
2025-11-30,Health,54.87
2025-12-07,Health,78.18
2025-12-14,Health,101.78
2025-12-21,Health,113.34
2025-11-30,Grocery,17.3
2025-12-07,Grocery,22.81
2025-12-14,Grocery,27.71
2025-12-21,Grocery,21.38
2025-11-30,Insurance,39.26
2025-12-07,Insurance,-49.74
2025-12-14,Insurance,-17.47
2025-12-21,Insurance,103.93
2025-11-30,Travel,54.1
2025-12-07,Travel,60.28
2025-12-14,Travel,47.27
2025-12-21,Travel,29.31
2025-11-30,Bills,123.54
2025-12-07,Bills,142.91
2025-12-14,Bills,150.14
2025-12-21,Bills,141.37
2025-11-30,Family,26.75
2025-12-07,Family,50.69
2025-12-14,Family,66.79
2025-12-21,Family,55.83
2025-11-30,Other,50.15
2025-12-07,Other,20.1
2025-12-14,Other,-7.38
2025-12-21,Other,-14.14
2025-11-30,Entertainment,93.0
2025-12-07,Entertainment,106.51
2025-12-14,Entertainment,91.72
2025-12-21,Entertainment,61.71
