Date,Category,Predicted_Spending
2025-11-16,Food,19.71
2025-11-23,Food,21.85
2025-11-30,Food,20.34
2025-12-07,Food,17.7
2025-11-16,Education,26.37
2025-11-23,Education,24.99
2025-11-30,Education,16.54
2025-12-07,Education,5.22
2025-11-16,Transport,9.97
2025-11-23,Transport,8.59
2025-11-30,Transport,12.03
2025-12-07,Transport,16.98
2025-11-16,Health,9.85
2025-11-23,Health,12.35
2025-11-30,Health,16.21
2025-12-07,Health,21.31
2025-11-16,Grocery,8.86
2025-11-23,Grocery,6.4
2025-11-30,Grocery,4.79
2025-12-07,Grocery,5.59
2025-11-16,Insurance,36.4
2025-11-23,Insurance,42.29
2025-11-30,Insurance,17.58
2025-12-07,Insurance,-9.15
2025-11-16,Travel,8.5
2025-11-23,Travel,11.48
2025-11-30,Travel,15.68
2025-12-07,Travel,16.38
2025-11-16,Bills,30.86
2025-11-23,Bills,34.5
2025-11-30,Bills,39.62
2025-12-07,Bills,42.54
2025-11-16,Family,18.41
2025-11-23,Family,8.8
2025-11-30,Family,7.73
2025-12-07,Family,13.26
2025-11-16,Other,11.76
2025-11-23,Other,18.3
2025-11-30,Other,15.86
2025-12-07,Other,6.54
2025-11-16,Entertainment,14.79
2025-11-23,Entertainment,20.03
2025-11-30,Entertainment,26.82
2025-12-07,Entertainment,28.68
