Date,Category,Predicted_Spending
2025-11-16,Food,11.24
2025-11-23,Food,12.36
2025-11-30,Food,11.43
2025-12-07,Food,9.94
2025-11-16,Education,15.11
2025-11-23,Education,14.32
2025-11-30,Education,9.48
2025-12-07,Education,3.0
2025-11-16,Transport,5.71
2025-11-23,Transport,4.92
2025-11-30,Transport,6.88
2025-12-07,Transport,9.72
2025-11-16,Health,5.64
2025-11-23,Health,7.07
2025-11-30,Health,9.28
2025-12-07,Health,12.19
2025-11-16,Grocery,5.11
2025-11-23,Grocery,3.71
2025-11-30,Grocery,2.79
2025-12-07,Grocery,3.25
2025-11-16,Insurance,20.83
2025-11-23,Insurance,24.2
2025-11-30,Insurance,10.06
2025-12-07,Insurance,-5.24
2025-11-16,Travel,4.88
2025-11-23,Travel,6.58
2025-11-30,Travel,8.99
2025-12-07,Travel,9.38
2025-11-16,Bills,19.09
2025-11-23,Bills,20.97
2025-11-30,Bills,23.5
2025-12-07,Bills,24.96
2025-11-16,Family,11.07
2025-11-23,Family,5.59
2025-11-30,Family,4.99
2025-12-07,Family,8.16
2025-11-16,Other,6.73
2025-11-23,Other,10.47
2025-11-30,Other,9.08
2025-12-07,Other,3.74
2025-11-16,Entertainment,8.47
2025-11-23,Entertainment,11.47
2025-11-30,Entertainment,15.35
2025-12-07,Entertainment,16.42
