Date,Category,Predicted_Spending
2025-11-30,Food,106.46
2025-12-07,Food,90.02
2025-12-14,Food,85.87
2025-12-21,Food,100.58
2025-11-30,Education,64.91
2025-12-07,Education,16.59
2025-12-14,Education,-0.5
2025-12-21,Education,33.45
2025-11-30,Transport,50.15
2025-12-07,Transport,82.13
2025-12-14,Transport,91.57
2025-12-21,Transport,67.17
2025-11-30,Health,72.74
2025-12-07,Health,103.64
2025-12-14,Health,134.92
2025-12-21,Health,150.24
2025-11-30,Grocery,22.93
2025-12-07,Grocery,30.24
2025-12-14,Grocery,36.73
2025-12-21,Grocery,28.34
2025-11-30,Insurance,52.05
2025-12-07,Insurance,-65.94
2025-12-14,Insurance,-23.16
2025-12-21,Insurance,137.77
2025-11-30,Travel,62.48
2025-12-07,Travel,70.98
2025-12-14,Travel,53.66
2025-12-21,Travel,29.66
2025-11-30,Bills,163.76
2025-12-07,Bills,189.44
2025-12-14,Bills,199.03
2025-12-21,Bills,187.4
2025-11-30,Family,35.46
2025-12-07,Family,67.2
2025-12-14,Family,88.54
2025-12-21,Family,74.01
2025-11-30,Other,66.87
2025-12-07,Other,27.63
2025-12-14,Other,-8.35
2025-12-21,Other,-16.95
2025-11-30,Entertainment,123.26
2025-12-07,Entertainment,141.16
2025-12-14,Entertainment,121.57
2025-12-21,Entertainment,81.8
