Date,Category,Predicted_Spending
2025-12-07,Food,534.03
2025-12-14,Food,544.11
2025-12-21,Food,681.27
2025-12-28,Food,832.68
2025-12-07,Education,76.69
2025-12-14,Education,-10.85
2025-12-21,Education,240.95
2025-12-28,Education,652.6
2025-12-07,Transport,489.45
2025-12-14,Transport,577.81
2025-12-21,Transport,470.05
2025-12-28,Transport,275.23
2025-12-07,Health,620.23
2025-12-14,Health,867.27
2025-12-21,Health,1004.57
2025-12-28,Health,920.57
2025-12-07,Grocery,180.74
2025-12-14,Grocery,238.83
2025-12-21,Grocery,196.57
2025-12-28,Grocery,98.28
2025-12-07,Insurance,-463.93
2025-12-14,Insurance,-160.2
2025-12-21,Insurance,938.84
2025-12-28,Insurance,1320.68
2025-12-07,Travel,390.63
2025-12-14,Travel,306.54
2025-12-21,Travel,177.53
2025-12-28,Travel,177.46
2025-12-07,Bills,1099.95
2025-12-14,Bills,1245.54
2025-12-21,Bills,1247.82
2025-12-28,Bills,1086.88
2025-12-07,Family,419.73
2025-12-14,Family,580.63
2025-12-21,Family,501.6
2025-12-28,Family,327.89
2025-12-07,Other,107.5
2025-12-14,Other,-111.49
2025-12-21,Other,-146.56
2025-12-28,Other,-41.2
2025-12-07,Entertainment,836.54
2025-12-14,Entertainment,759.99
2025-12-21,Entertainment,542.07
2025-12-28,Entertainment,398.81
