Date,Category,Predicted_Spending
2025-11-16,Food,12.15
2025-11-23,Food,13.47
2025-11-30,Food,12.54
2025-12-07,Food,10.91
2025-11-16,Education,16.41
2025-11-23,Education,15.56
2025-11-30,Education,10.34
2025-12-07,Education,3.35
2025-11-16,Transport,6.15
2025-11-23,Transport,5.3
2025-11-30,Transport,7.42
2025-12-07,Transport,10.47
2025-11-16,Health,6.07
2025-11-23,Health,7.62
2025-11-30,Health,9.99
2025-12-07,Health,13.14
2025-11-16,Grocery,5.51
2025-11-23,Grocery,4.0
2025-11-30,Grocery,3.01
2025-12-07,Grocery,3.5
2025-11-16,Insurance,22.44
2025-11-23,Insurance,26.07
2025-11-30,Insurance,10.84
2025-12-07,Insurance,-5.64
2025-11-16,Travel,4.09
2025-11-23,Travel,5.81
2025-11-30,Travel,8.38
2025-12-07,Travel,8.81
2025-11-16,Bills,20.74
2025-11-23,Bills,22.76
2025-11-30,Bills,25.42
2025-12-07,Bills,26.95
2025-11-16,Family,11.68
2025-11-23,Family,5.78
2025-11-30,Family,5.12
2025-12-07,Family,8.52
2025-11-16,Other,7.25
2025-11-23,Other,11.28
2025-11-30,Other,9.78
2025-12-07,Other,4.03
2025-11-16,Entertainment,9.13
2025-11-23,Entertainment,12.35
2025-11-30,Entertainment,16.54
2025-12-07,Entertainment,17.69
