Date,Category,Predicted_Spending
2025-11-16,Food,10.7
2025-11-23,Food,11.86
2025-11-30,Food,11.04
2025-12-07,Food,9.61
2025-11-16,Education,14.45
2025-11-23,Education,13.69
2025-11-30,Education,9.1
2025-12-07,Education,2.95
2025-11-16,Transport,5.41
2025-11-23,Transport,4.66
2025-11-30,Transport,6.53
2025-12-07,Transport,9.22
2025-11-16,Health,5.35
2025-11-23,Health,6.7
2025-11-30,Health,8.8
2025-12-07,Health,11.57
2025-11-16,Grocery,4.85
2025-11-23,Grocery,3.53
2025-11-30,Grocery,2.66
2025-12-07,Grocery,3.09
2025-11-16,Insurance,19.76
2025-11-23,Insurance,22.95
2025-11-30,Insurance,9.54
2025-12-07,Insurance,-4.97
2025-11-16,Travel,3.87
2025-11-23,Travel,5.37
2025-11-30,Travel,7.61
2025-12-07,Travel,8.01
2025-11-16,Bills,16.52
2025-11-23,Bills,18.5
2025-11-30,Bills,21.31
2025-12-07,Bills,22.91
2025-11-16,Family,10.08
2025-11-23,Family,4.87
2025-11-30,Family,4.29
2025-12-07,Family,7.29
2025-11-16,Other,6.38
2025-11-23,Other,9.93
2025-11-30,Other,8.61
2025-12-07,Other,3.55
2025-11-16,Entertainment,8.03
2025-11-23,Entertainment,10.88
2025-11-30,Entertainment,14.56
2025-12-07,Entertainment,15.57
