Date,Category,Predicted_Spending
2025-11-30,Food,250893.35
2025-12-07,Food,212244.01
2025-12-14,Food,202489.6
2025-12-21,Food,237049.48
2025-11-30,Education,152583.13
2025-12-07,Education,38849.11
2025-12-14,Education,-1340.42
2025-12-21,Education,78534.6
2025-11-30,Transport,117869.63
2025-12-07,Transport,193043.61
2025-12-14,Transport,215237.36
2025-12-21,Transport,157876.96
2025-11-30,Health,170969.21
2025-12-07,Health,243604.66
2025-12-14,Health,317129.04
2025-12-21,Health,353131.43
2025-11-30,Grocery,53898.34
2025-12-07,Grocery,71078.05
2025-12-14,Grocery,86336.32
2025-12-21,Grocery,66620.07
2025-11-30,Insurance,122338.27
2025-12-07,Insurance,-154991.22
2025-12-14,Insurance,-54431.82
2025-12-21,Insurance,323823.21
2025-11-30,Travel,168554.73
2025-12-07,Travel,187822.52
2025-12-14,Travel,147284.04
2025-12-21,Travel,91324.29
2025-11-30,Bills,384918.54
2025-12-07,Bills,445279.26
2025-12-14,Bills,467822.84
2025-12-21,Bills,440490.5
2025-11-30,Family,83362.0
2025-12-07,Family,157959.09
2025-12-14,Family,208115.78
2025-12-21,Family,173969.32
2025-11-30,Other,157166.99
2025-12-07,Other,64938.59
2025-12-14,Other,-19622.89
2025-12-21,Other,-39850.71
2025-11-30,Entertainment,289728.59
2025-12-07,Entertainment,331807.71
2025-12-14,Entertainment,285736.14
2025-12-21,Entertainment,192255.24
