Date,Category,Predicted_Spending
2025-11-30,Food,1346.57
2025-12-07,Food,1138.63
2025-12-14,Food,1086.18
2025-12-21,Food,1272.14
2025-11-30,Education,821.11
2025-12-07,Education,209.09
2025-12-14,Education,-7.18
2025-12-21,Education,422.65
2025-11-30,Transport,634.31
2025-12-07,Transport,1038.86
2025-12-14,Transport,1158.29
2025-12-21,Transport,849.61
2025-11-30,Health,920.09
2025-12-07,Health,1310.98
2025-12-14,Health,1706.64
2025-12-21,Health,1900.38
2025-11-30,Grocery,290.05
2025-12-07,Grocery,382.5
2025-12-14,Grocery,464.61
2025-12-21,Grocery,358.51
2025-11-30,Insurance,658.36
2025-12-07,Insurance,-834.08
2025-12-14,Insurance,-292.92
2025-12-21,Insurance,1742.64
2025-11-30,Travel,906.97
2025-12-07,Travel,1010.67
2025-12-14,Travel,792.52
2025-12-21,Travel,491.38
2025-11-30,Bills,2071.39
2025-12-07,Bills,2396.21
2025-12-14,Bills,2517.53
2025-12-21,Bills,2370.44
2025-11-30,Family,448.6
2025-12-07,Family,850.04
2025-12-14,Family,1119.96
2025-12-21,Family,936.2
2025-11-30,Other,845.78
2025-12-07,Other,349.46
2025-12-14,Other,-105.6
2025-12-21,Other,-214.46
2025-11-30,Entertainment,1559.2
2025-12-07,Entertainment,1785.66
2025-12-14,Entertainment,1537.64
2025-12-21,Entertainment,1034.4
