Date,Category,Predicted_Spending
2025-11-16,Food,2201.66
2025-11-23,Food,2440.11
2025-11-30,Food,2271.88
2025-12-07,Food,1977.13
2025-11-16,Education,2947.68
2025-11-23,Education,2792.95
2025-11-30,Education,1849.65
2025-12-07,Education,585.03
2025-11-16,Transport,1113.86
2025-11-23,Transport,959.63
2025-11-30,Transport,1343.48
2025-12-07,Transport,1896.66
2025-11-16,Health,1100.45
2025-11-23,Health,1379.48
2025-11-30,Health,1810.24
2025-12-07,Health,2379.78
2025-11-16,Grocery,987.58
2025-11-23,Grocery,712.4
2025-11-30,Grocery,533.38
2025-12-07,Grocery,622.15
2025-11-16,Insurance,4064.93
2025-11-23,Insurance,4723.01
2025-11-30,Insurance,1962.88
2025-12-07,Insurance,-1021.96
2025-11-16,Travel,951.77
2025-11-23,Travel,1285.0
2025-11-30,Travel,1753.86
2025-12-07,Travel,1831.24
2025-11-16,Bills,3758.08
2025-11-23,Bills,4123.6
2025-11-30,Bills,4604.48
2025-12-07,Bills,4881.1
2025-11-16,Family,2145.08
2025-11-23,Family,1071.41
2025-11-30,Family,945.35
2025-12-07,Family,1559.22
2025-11-16,Other,1312.97
2025-11-23,Other,2043.73
2025-11-30,Other,1771.13
2025-12-07,Other,730.29
2025-11-16,Entertainment,1653.0
2025-11-23,Entertainment,2237.8
2025-11-30,Entertainment,2996.7
2025-12-07,Entertainment,3204.13
