Date,Category,Predicted_Spending
2025-11-16,Food,20585.33
2025-11-23,Food,22646.26
2025-11-30,Food,20977.05
2025-12-07,Food,18252.52
2025-11-16,Education,27774.71
2025-11-23,Education,26321.24
2025-11-30,Education,17494.37
2025-12-07,Education,5663.07
2025-11-16,Transport,10404.52
2025-11-23,Transport,8963.91
2025-11-30,Transport,12549.41
2025-12-07,Transport,17716.64
2025-11-16,Health,10279.31
2025-11-23,Health,12885.73
2025-11-30,Health,16909.45
2025-12-07,Health,22229.52
2025-11-16,Grocery,9105.83
2025-11-23,Grocery,6519.26
2025-11-30,Grocery,4842.98
2025-12-07,Grocery,5678.17
2025-11-16,Insurance,37970.97
2025-11-23,Insurance,44117.98
2025-11-30,Insurance,18335.78
2025-12-07,Insurance,-9545.38
2025-11-16,Travel,8883.23
2025-11-23,Travel,11996.9
2025-11-30,Travel,16376.96
2025-12-07,Travel,17099.6
2025-11-16,Bills,35017.59
2025-11-23,Bills,38440.63
2025-11-30,Bills,42937.66
2025-12-07,Bills,45522.24
2025-11-16,Family,20431.38
2025-11-23,Family,10502.08
2025-11-30,Family,9405.68
2025-12-07,Family,15153.09
2025-11-16,Other,12264.45
2025-11-23,Other,19090.45
2025-11-30,Other,16544.16
2025-12-07,Other,6821.62
2025-11-16,Entertainment,15442.08
2025-11-23,Entertainment,20904.51
2025-11-30,Entertainment,27993.43
2025-12-07,Entertainment,29931.13
