Date,Category,Predicted_Spending
2025-12-07,Food,3447.55
2025-12-14,Food,3512.65
2025-12-21,Food,4398.08
2025-12-28,Food,5375.55
2025-12-07,Education,495.09
2025-12-14,Education,-70.04
2025-12-21,Education,1555.53
2025-12-28,Education,4213.02
2025-12-07,Transport,3159.73
2025-12-14,Transport,3730.18
2025-12-21,Transport,3034.57
2025-12-28,Transport,1777.0
2025-12-07,Health,4003.87
2025-12-14,Health,5598.8
2025-12-21,Health,6485.25
2025-12-28,Health,5943.06
2025-12-07,Grocery,1166.81
2025-12-14,Grocery,1541.83
2025-12-21,Grocery,1269.01
2025-12-28,Grocery,634.49
2025-12-07,Insurance,-2995.0
2025-12-14,Insurance,-1034.23
2025-12-21,Insurance,6060.87
2025-12-28,Insurance,8525.93
2025-12-07,Travel,2496.53
2025-12-14,Travel,1953.11
2025-12-21,Travel,1120.6
2025-12-28,Travel,1121.73
2025-12-07,Bills,7100.93
2025-12-14,Bills,8040.82
2025-12-21,Bills,8055.42
2025-12-28,Bills,7016.4
2025-12-07,Family,2709.66
2025-12-14,Family,3748.39
2025-12-21,Family,3238.19
2025-12-28,Family,2116.8
2025-12-07,Other,693.96
2025-12-14,Other,-719.78
2025-12-21,Other,-946.21
2025-12-28,Other,-265.99
2025-12-07,Entertainment,5403.04
2025-12-14,Entertainment,4907.11
2025-12-21,Entertainment,3498.28
2025-12-28,Entertainment,2571.69
