Date,Category,Predicted_Spending
2025-12-07,Food,23545.02
2025-12-14,Food,23989.65
2025-12-21,Food,30036.67
2025-12-28,Food,36712.29
2025-12-07,Education,3381.24
2025-12-14,Education,-478.31
2025-12-21,Education,10623.5
2025-12-28,Education,28772.84
2025-12-07,Transport,21582.34
2025-12-14,Transport,25478.32
2025-12-21,Transport,20707.67
2025-12-28,Transport,12093.47
2025-12-07,Health,27344.45
2025-12-14,Health,38237.0
2025-12-21,Health,44290.98
2025-12-28,Health,40588.14
2025-12-07,Grocery,7968.68
2025-12-14,Grocery,10529.91
2025-12-21,Grocery,8666.72
2025-12-28,Grocery,4333.2
2025-12-07,Insurance,-20454.34
2025-12-14,Insurance,-7063.28
2025-12-21,Insurance,41392.73
2025-12-28,Insurance,58227.88
2025-12-07,Travel,17215.2
2025-12-14,Travel,13506.8
2025-12-21,Travel,7819.17
2025-12-28,Travel,7818.53
2025-12-07,Bills,48495.54
2025-12-14,Bills,54914.24
2025-12-21,Bills,55013.31
2025-12-28,Bills,47916.72
2025-12-07,Family,18505.62
2025-12-14,Family,25599.61
2025-12-21,Family,22115.22
2025-12-28,Family,14456.66
2025-12-07,Other,4739.68
2025-12-14,Other,-4915.44
2025-12-21,Other,-6461.92
2025-12-28,Other,-1816.35
2025-12-07,Entertainment,36933.24
2025-12-14,Entertainment,33559.15
2025-12-21,Entertainment,23952.08
2025-12-28,Entertainment,17632.21
