Date,Category,Predicted_Spending
2025-11-30,Food,275.79
2025-12-07,Food,233.2
2025-12-14,Food,222.46
2025-12-21,Food,260.55
2025-11-30,Education,168.16
2025-12-07,Education,42.98
2025-12-14,Education,-1.28
2025-12-21,Education,86.65
2025-11-30,Transport,129.91
2025-12-07,Transport,212.77
2025-12-14,Transport,237.23
2025-12-21,Transport,174.01
2025-11-30,Health,188.43
2025-12-07,Health,268.49
2025-12-14,Health,349.52
2025-12-21,Health,389.21
2025-11-30,Grocery,59.4
2025-12-07,Grocery,78.34
2025-12-14,Grocery,95.16
2025-12-21,Grocery,73.43
2025-11-30,Insurance,134.84
2025-12-07,Insurance,-170.83
2025-12-14,Insurance,-59.99
2025-12-21,Insurance,356.91
2025-11-30,Travel,167.19
2025-12-07,Travel,189.07
2025-12-14,Travel,144.25
2025-12-21,Travel,82.21
2025-11-30,Bills,424.24
2025-12-07,Bills,490.77
2025-12-14,Bills,515.62
2025-12-21,Bills,485.49
2025-11-30,Family,91.88
2025-12-07,Family,174.1
2025-12-14,Family,229.38
2025-12-21,Family,191.74
2025-11-30,Other,171.78
2025-12-07,Other,68.65
2025-12-14,Other,-25.66
2025-12-21,Other,-48.78
2025-11-30,Entertainment,319.29
2025-12-07,Entertainment,365.66
2025-12-14,Entertainment,314.86
2025-12-21,Entertainment,211.8
