Date,Category,Predicted_Spending
2025-11-30,Food,153.15
2025-12-07,Food,129.5
2025-12-14,Food,123.53
2025-12-21,Food,144.68
2025-11-30,Education,93.39
2025-12-07,Education,23.78
2025-12-14,Education,-0.81
2025-12-21,Education,48.07
2025-11-30,Transport,72.14
2025-12-07,Transport,118.15
2025-12-14,Transport,131.73
2025-12-21,Transport,96.63
2025-11-30,Health,104.64
2025-12-07,Health,149.1
2025-12-14,Health,194.09
2025-12-21,Health,216.13
2025-11-30,Grocery,32.99
2025-12-07,Grocery,43.5
2025-12-14,Grocery,52.84
2025-12-21,Grocery,40.77
2025-11-30,Insurance,74.88
2025-12-07,Insurance,-94.86
2025-12-14,Insurance,-33.31
2025-12-21,Insurance,198.19
2025-11-30,Travel,103.16
2025-12-07,Travel,114.95
2025-12-14,Travel,90.14
2025-12-21,Travel,55.89
2025-11-30,Bills,235.58
2025-12-07,Bills,272.52
2025-12-14,Bills,286.32
2025-12-21,Bills,269.59
2025-11-30,Family,51.02
2025-12-07,Family,96.67
2025-12-14,Family,127.37
2025-12-21,Family,106.47
2025-11-30,Other,96.19
2025-12-07,Other,39.74
2025-12-14,Other,-12.01
2025-12-21,Other,-24.39
2025-11-30,Entertainment,177.33
2025-12-07,Entertainment,203.08
2025-12-14,Entertainment,174.88
2025-12-21,Entertainment,117.67
