Date,Category,Predicted_Spending
2025-11-30,Food,26.33
2025-12-07,Food,22.27
2025-12-14,Food,21.24
2025-12-21,Food,24.88
2025-11-30,Education,16.06
2025-12-07,Education,4.09
2025-12-14,Education,-0.14
2025-12-21,Education,8.27
2025-11-30,Transport,12.4
2025-12-07,Transport,20.32
2025-12-14,Transport,22.65
2025-12-21,Transport,16.62
2025-11-30,Health,17.99
2025-12-07,Health,25.64
2025-12-14,Health,33.37
2025-12-21,Health,37.16
2025-11-30,Grocery,5.67
2025-12-07,Grocery,7.48
2025-12-14,Grocery,9.09
2025-12-21,Grocery,7.01
2025-11-30,Insurance,12.87
2025-12-07,Insurance,-16.31
2025-12-14,Insurance,-5.73
2025-12-21,Insurance,34.08
2025-11-30,Travel,14.95
2025-12-07,Travel,17.08
2025-12-14,Travel,12.79
2025-12-21,Travel,6.85
2025-11-30,Bills,40.51
2025-12-07,Bills,46.86
2025-12-14,Bills,49.23
2025-12-21,Bills,46.36
2025-11-30,Family,8.77
2025-12-07,Family,16.62
2025-12-14,Family,21.9
2025-12-21,Family,18.31
2025-11-30,Other,16.45
2025-12-07,Other,6.6
2025-12-14,Other,-2.42
2025-12-21,Other,-4.64
2025-11-30,Entertainment,30.49
2025-12-07,Entertainment,34.92
2025-12-14,Entertainment,30.07
2025-12-21,Entertainment,20.23
