Date,Category,Predicted_Spending
2025-11-30,Food,883.4
2025-12-07,Food,746.98
2025-12-14,Food,712.57
2025-12-21,Food,834.57
2025-11-30,Education,538.67
2025-12-07,Education,137.17
2025-12-14,Education,-4.71
2025-12-21,Education,277.27
2025-11-30,Transport,416.13
2025-12-07,Transport,681.52
2025-12-14,Transport,759.88
2025-12-21,Transport,557.37
2025-11-30,Health,603.59
2025-12-07,Health,860.02
2025-12-14,Health,1119.6
2025-12-21,Health,1246.7
2025-11-30,Grocery,190.29
2025-12-07,Grocery,250.94
2025-12-14,Grocery,304.81
2025-12-21,Grocery,235.2
2025-11-30,Insurance,431.9
2025-12-07,Insurance,-547.18
2025-12-14,Insurance,-192.17
2025-12-21,Insurance,1143.23
2025-11-30,Travel,523.24
2025-12-07,Travel,592.83
2025-12-14,Travel,448.18
2025-12-21,Travel,247.82
2025-11-30,Bills,1358.9
2025-12-07,Bills,1572.0
2025-12-14,Bills,1651.58
2025-12-21,Bills,1555.09
2025-11-30,Family,294.3
2025-12-07,Family,557.65
2025-12-14,Family,734.73
2025-12-21,Family,614.18
2025-11-30,Other,554.86
2025-12-07,Other,229.26
2025-12-14,Other,-69.28
2025-12-21,Other,-140.69
2025-11-30,Entertainment,1022.83
2025-12-07,Entertainment,1171.38
2025-12-14,Entertainment,1008.73
2025-12-21,Entertainment,678.7
