Date,Category,Predicted_Spending
2025-12-07,Food,3170.33
2025-12-14,Food,3230.2
2025-12-21,Food,4044.43
2025-12-28,Food,4943.3
2025-12-07,Education,455.3
2025-12-14,Education,-64.38
2025-12-21,Education,1430.48
2025-12-28,Education,3874.28
2025-12-07,Transport,2905.9
2025-12-14,Transport,3430.5
2025-12-21,Transport,2789.53
2025-12-28,Transport,1631.39
2025-12-07,Health,3681.93
2025-12-14,Health,5148.61
2025-12-21,Health,5963.77
2025-12-28,Health,5465.18
2025-12-07,Grocery,1072.98
2025-12-14,Grocery,1417.85
2025-12-21,Grocery,1166.98
2025-12-28,Grocery,583.47
2025-12-07,Insurance,-2754.17
2025-12-14,Insurance,-951.07
2025-12-21,Insurance,5573.52
2025-12-28,Insurance,7840.37
2025-12-07,Travel,2293.01
2025-12-14,Travel,1793.2
2025-12-21,Travel,1027.63
2025-12-28,Travel,1028.73
2025-12-07,Bills,6529.75
2025-12-14,Bills,7393.75
2025-12-21,Bills,7406.57
2025-12-28,Bills,6450.49
2025-12-07,Family,2491.78
2025-12-14,Family,3446.98
2025-12-21,Family,2977.81
2025-12-28,Family,1946.59
2025-12-07,Other,638.2
2025-12-14,Other,-661.86
2025-12-21,Other,-870.1
2025-12-28,Other,-244.57
2025-12-07,Entertainment,4977.48
2025-12-14,Entertainment,4524.95
2025-12-21,Entertainment,3233.39
2025-12-28,Entertainment,2383.63
