Date,Category,Predicted_Spending
2025-11-30,Food,1169.75
2025-12-07,Food,989.1
2025-12-14,Food,943.54
2025-12-21,Food,1105.09
2025-11-30,Education,713.31
2025-12-07,Education,181.61
2025-12-14,Education,-6.27
2025-12-21,Education,367.14
2025-11-30,Transport,551.03
2025-12-07,Transport,902.45
2025-12-14,Transport,1006.21
2025-12-21,Transport,738.05
2025-11-30,Health,799.24
2025-12-07,Health,1138.8
2025-12-14,Health,1482.51
2025-12-21,Health,1650.83
2025-11-30,Grocery,251.97
2025-12-07,Grocery,332.28
2025-12-14,Grocery,403.62
2025-12-21,Grocery,311.44
2025-11-30,Insurance,571.92
2025-12-07,Insurance,-724.56
2025-12-14,Insurance,-254.46
2025-12-21,Insurance,1513.83
2025-11-30,Travel,787.23
2025-12-07,Travel,877.35
2025-12-14,Travel,687.83
2025-12-21,Travel,426.15
2025-11-30,Bills,1799.41
2025-12-07,Bills,2081.59
2025-12-14,Bills,2186.98
2025-12-21,Bills,2059.2
2025-11-30,Family,389.7
2025-12-07,Family,738.43
2025-12-14,Family,972.91
2025-12-21,Family,813.28
2025-11-30,Other,734.74
2025-12-07,Other,303.58
2025-12-14,Other,-91.73
2025-12-21,Other,-186.3
2025-11-30,Entertainment,1354.44
2025-12-07,Entertainment,1551.16
2025-12-14,Entertainment,1335.67
2025-12-21,Entertainment,898.45
