Date,Category,Predicted_Spending
2025-11-30,Food,142.57
2025-12-07,Food,120.56
2025-12-14,Food,115.0
2025-12-21,Food,134.69
2025-11-30,Education,86.93
2025-12-07,Education,22.14
2025-12-14,Education,-0.76
2025-12-21,Education,44.75
2025-11-30,Transport,67.16
2025-12-07,Transport,109.99
2025-12-14,Transport,122.63
2025-12-21,Transport,89.95
2025-11-30,Health,97.41
2025-12-07,Health,138.8
2025-12-14,Health,180.69
2025-12-21,Health,201.2
2025-11-30,Grocery,30.71
2025-12-07,Grocery,40.5
2025-12-14,Grocery,49.19
2025-12-21,Grocery,37.96
2025-11-30,Insurance,69.7
2025-12-07,Insurance,-88.31
2025-12-14,Insurance,-31.01
2025-12-21,Insurance,184.5
2025-11-30,Travel,96.04
2025-12-07,Travel,107.01
2025-12-14,Travel,83.92
2025-12-21,Travel,52.03
2025-11-30,Bills,219.3
2025-12-07,Bills,253.69
2025-12-14,Bills,266.54
2025-12-21,Bills,250.97
2025-11-30,Family,47.49
2025-12-07,Family,90.0
2025-12-14,Family,118.57
2025-12-21,Family,99.12
2025-11-30,Other,89.27
2025-12-07,Other,35.92
2025-12-14,Other,-12.85
2025-12-21,Other,-24.84
2025-11-30,Entertainment,165.06
2025-12-07,Entertainment,189.03
2025-12-14,Entertainment,162.78
2025-12-21,Entertainment,109.51
