Date,Category,Predicted_Spending
2025-11-30,Food,19.55
2025-12-07,Food,16.53
2025-12-14,Food,15.77
2025-12-21,Food,18.47
2025-11-30,Education,11.92
2025-12-07,Education,3.04
2025-12-14,Education,-0.1
2025-12-21,Education,6.14
2025-11-30,Transport,9.21
2025-12-07,Transport,15.08
2025-12-14,Transport,16.81
2025-12-21,Transport,12.33
2025-11-30,Health,13.36
2025-12-07,Health,19.03
2025-12-14,Health,24.77
2025-12-21,Health,27.59
2025-11-30,Grocery,4.21
2025-12-07,Grocery,5.55
2025-12-14,Grocery,6.74
2025-12-21,Grocery,5.2
2025-11-30,Insurance,9.56
2025-12-07,Insurance,-12.11
2025-12-14,Insurance,-4.25
2025-12-21,Insurance,25.3
2025-11-30,Travel,11.37
2025-12-07,Travel,12.99
2025-12-14,Travel,9.86
2025-12-21,Travel,5.52
2025-11-30,Bills,30.07
2025-12-07,Bills,34.79
2025-12-14,Bills,36.55
2025-12-21,Bills,34.41
2025-11-30,Family,6.51
2025-12-07,Family,12.34
2025-12-14,Family,16.26
2025-12-21,Family,13.59
2025-11-30,Other,12.19
2025-12-07,Other,4.88
2025-12-14,Other,-1.81
2025-12-21,Other,-3.45
2025-11-30,Entertainment,22.63
2025-12-07,Entertainment,25.92
2025-12-14,Entertainment,22.32
2025-12-21,Entertainment,15.02
