Date,Category,Predicted_Spending
2025-11-30,Food,484.34
2025-12-07,Food,409.55
2025-12-14,Food,390.68
2025-12-21,Food,457.57
2025-11-30,Education,295.34
2025-12-07,Education,75.2
2025-12-14,Education,-2.6
2025-12-21,Education,152.01
2025-11-30,Transport,228.15
2025-12-07,Transport,373.66
2025-12-14,Transport,416.62
2025-12-21,Transport,305.59
2025-11-30,Health,330.95
2025-12-07,Health,471.55
2025-12-14,Health,613.86
2025-12-21,Health,683.54
2025-11-30,Grocery,104.33
2025-12-07,Grocery,137.58
2025-12-14,Grocery,167.12
2025-12-21,Grocery,128.95
2025-11-30,Insurance,236.8
2025-12-07,Insurance,-300.01
2025-12-14,Insurance,-105.36
2025-12-21,Insurance,626.8
2025-11-30,Travel,294.62
2025-12-07,Travel,333.17
2025-12-14,Travel,254.65
2025-12-21,Travel,145.94
2025-11-30,Bills,745.06
2025-12-07,Bills,861.9
2025-12-14,Bills,905.53
2025-12-21,Bills,852.63
2025-11-30,Family,161.36
2025-12-07,Family,305.75
2025-12-14,Family,402.83
2025-12-21,Family,336.74
2025-11-30,Other,304.22
2025-12-07,Other,125.7
2025-12-14,Other,-37.98
2025-12-21,Other,-77.14
2025-11-30,Entertainment,560.76
2025-12-07,Entertainment,642.2
2025-12-14,Entertainment,552.99
2025-12-21,Entertainment,372.02
