Date,Category,Predicted_Spending
2025-11-30,Food,639.98
2025-12-07,Food,541.15
2025-12-14,Food,516.22
2025-12-21,Food,604.61
2025-11-30,Education,390.15
2025-12-07,Education,99.73
2025-12-14,Education,-2.95
2025-12-21,Education,201.03
2025-11-30,Transport,301.47
2025-12-07,Transport,493.73
2025-12-14,Transport,550.5
2025-12-21,Transport,403.79
2025-11-30,Health,437.26
2025-12-07,Health,623.03
2025-12-14,Health,811.08
2025-12-21,Health,903.17
2025-11-30,Grocery,137.85
2025-12-07,Grocery,181.79
2025-12-14,Grocery,220.82
2025-12-21,Grocery,170.39
2025-11-30,Insurance,312.89
2025-12-07,Insurance,-396.41
2025-12-14,Insurance,-139.22
2025-12-21,Insurance,828.22
2025-11-30,Travel,431.01
2025-12-07,Travel,480.3
2025-12-14,Travel,376.62
2025-12-21,Travel,233.49
2025-11-30,Bills,984.47
2025-12-07,Bills,1138.85
2025-12-14,Bills,1196.51
2025-12-21,Bills,1126.61
2025-11-30,Family,213.21
2025-12-07,Family,404.0
2025-12-14,Family,532.28
2025-12-21,Family,444.95
2025-11-30,Other,401.97
2025-12-07,Other,166.09
2025-12-14,Other,-50.19
2025-12-21,Other,-101.92
2025-11-30,Entertainment,740.99
2025-12-07,Entertainment,848.6
2025-12-14,Entertainment,730.76
2025-12-21,Entertainment,491.66
