Date,Category,Predicted_Spending
2025-11-16,Food,14.01
2025-11-23,Food,15.53
2025-11-30,Food,14.46
2025-12-07,Food,12.59
2025-11-16,Education,18.93
2025-11-23,Education,17.94
2025-11-30,Education,11.92
2025-12-07,Education,3.86
2025-11-16,Transport,7.09
2025-11-23,Transport,6.11
2025-11-30,Transport,8.55
2025-12-07,Transport,12.07
2025-11-16,Health,7.0
2025-11-23,Health,8.78
2025-11-30,Health,11.52
2025-12-07,Health,15.15
2025-11-16,Grocery,6.28
2025-11-23,Grocery,4.53
2025-11-30,Grocery,3.39
2025-12-07,Grocery,3.95
2025-11-16,Insurance,25.88
2025-11-23,Insurance,30.06
2025-11-30,Insurance,12.49
2025-12-07,Insurance,-6.51
2025-11-16,Travel,4.58
2025-11-23,Travel,6.57
2025-11-30,Travel,9.52
2025-12-07,Travel,10.03
2025-11-16,Bills,23.2
2025-11-23,Bills,25.6
2025-11-30,Bills,28.71
2025-12-07,Bills,30.48
2025-11-16,Family,13.11
2025-11-23,Family,6.29
2025-11-30,Family,5.53
2025-12-07,Family,9.46
2025-11-16,Other,8.36
2025-11-23,Other,13.01
2025-11-30,Other,11.27
2025-12-07,Other,4.65
2025-11-16,Entertainment,10.52
2025-11-23,Entertainment,14.25
2025-11-30,Entertainment,19.08
2025-12-07,Entertainment,20.4
