Date,Category,Predicted_Spending
2025-12-07,Food,294274.55
2025-12-14,Food,299831.61
2025-12-21,Food,375409.64
2025-12-28,Food,458844.03
2025-12-07,Education,42260.12
2025-12-14,Education,-5978.03
2025-12-21,Education,132776.65
2025-12-28,Education,359613.81
2025-12-07,Transport,269714.53
2025-12-14,Transport,318405.41
2025-12-21,Transport,258949.52
2025-12-28,Transport,151503.45
2025-12-07,Health,341773.24
2025-12-14,Health,477905.66
2025-12-21,Health,553563.4
2025-12-28,Health,507278.9
2025-12-07,Grocery,106227.45
2025-12-14,Grocery,135132.49
2025-12-21,Grocery,109623.8
2025-12-28,Grocery,55113.29
2025-12-07,Insurance,-255646.04
2025-12-14,Insurance,-88279.5
2025-12-21,Insurance,517341.85
2025-12-28,Insurance,727753.94
2025-12-07,Travel,214269.23
2025-12-14,Travel,167693.96
2025-12-21,Travel,96387.11
2025-12-28,Travel,96285.12
2025-12-07,Bills,606121.02
2025-12-14,Bills,686351.88
2025-12-21,Bills,687604.31
2025-12-28,Bills,598922.96
2025-12-07,Family,231290.15
2025-12-14,Family,319953.58
2025-12-21,Family,276404.39
2025-12-28,Family,180684.72
2025-12-07,Other,59237.92
2025-12-14,Other,-61435.44
2025-12-21,Other,-80763.8
2025-12-28,Other,-22701.56
2025-12-07,Entertainment,460774.61
2025-12-14,Entertainment,418610.31
2025-12-21,Entertainment,298543.3
2025-12-28,Entertainment,219607.02
