Date,Category,Predicted_Spending
2025-11-30,Food,258.49
2025-12-07,Food,218.67
2025-12-14,Food,208.62
2025-12-21,Food,244.22
2025-11-30,Education,157.16
2025-12-07,Education,40.03
2025-12-14,Education,-1.36
2025-12-21,Education,80.9
2025-11-30,Transport,121.41
2025-12-07,Transport,198.84
2025-12-14,Transport,221.7
2025-12-21,Transport,162.62
2025-11-30,Health,176.1
2025-12-07,Health,250.92
2025-12-14,Health,326.65
2025-12-21,Health,363.73
2025-11-30,Grocery,55.52
2025-12-07,Grocery,73.21
2025-12-14,Grocery,88.93
2025-12-21,Grocery,68.62
2025-11-30,Insurance,126.01
2025-12-07,Insurance,-159.64
2025-12-14,Insurance,-56.07
2025-12-21,Insurance,333.54
2025-11-30,Travel,154.68
2025-12-07,Travel,175.1
2025-12-14,Travel,133.13
2025-12-21,Travel,75.02
2025-11-30,Bills,396.47
2025-12-07,Bills,458.64
2025-12-14,Bills,481.86
2025-12-21,Bills,453.71
2025-11-30,Family,85.85
2025-12-07,Family,162.68
2025-12-14,Family,214.34
2025-12-21,Family,179.17
2025-11-30,Other,160.66
2025-12-07,Other,64.27
2025-12-14,Other,-23.86
2025-12-21,Other,-45.45
2025-11-30,Entertainment,298.43
2025-12-07,Entertainment,341.77
2025-12-14,Entertainment,294.31
2025-12-21,Entertainment,198.02
